SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
1,poverty,35,True,21.04,736.4
1,pension,23,True,9.71,223.33
1,unemployment,23,True,8.65,198.95000000000002
1,pensions,22,True,2.88,63.36
1,incomes,19,,2.23,42.37
1,employment,18,True,6.52,117.35999999999999
1,unemployed,18,True,3.44,61.92
1,jobless,17,,2.23,37.91
1,insurance,16,True,7.13,114.08
1,homelessness,16,True,2.72,43.52
1,retirement,16,True,2.66,42.56
1,inequality,15,True,7.17,107.55
1,inequalities,15,True,2.72,40.800000000000004
1,annuity,15,,2.23,33.45
1,retirees,15,,2.23,33.45
1,welfare,14,True,11.53,161.42
1,pensioners,14,,2.23,31.22
1,insurers,14,,2.23,31.22
1,wages,14,,2.23,31.22
1,elderly,14,,2.23,31.22
1,uninsured,13,True,6.26,81.38
1,homeless,13,True,3.16,41.08
1,socio economic,13,,2.23,28.99
1,premiums,13,,2.23,28.99
1,disability,12,True,3.04,36.480000000000004
1,extreme poverty,12,,2.23,26.759999999999998
1,infant mortality,12,,2.23,26.759999999999998
1,joblessness,12,,2.23,26.759999999999998
1,insurer,12,,2.23,26.759999999999998
1,racism,11,True,2.82,31.02
1,deprivation,11,True,2.29,25.19
1,underdevelopment,11,,2.23,24.53
1,poorer,11,,2.23,24.53
1,economic,10,True,4.72,47.199999999999996
1,gender,10,,2.23,22.3
1,illiteracy,10,,2.23,22.3
1,abject poverty,10,,2.23,22.3
1,environmental degradation,10,,2.23,22.3
1,marginalization,10,,2.23,22.3
1,equality,10,,2.23,22.3
1,retiree,10,,2.23,22.3
1,employer,10,,2.23,22.3
1,wage,10,,2.23,22.3
1,salaries,10,,2.23,22.3
1,employers,10,,2.23,22.3
1,mental health,10,,2.23,22.3
1,foreclosures,10,,2.23,22.3
1,health care,10,,2.23,22.3
1,flood,9,True,2.25,20.25
1,hunger,9,,2.23,20.07
1,discrimination,9,,2.23,20.07
1,hiv aids,9,,2.23,20.07
1,socioeconomic,9,,2.23,20.07
1,poorest,9,,2.23,20.07
1,maternal mortality,9,,2.23,20.07
1,educational attainment,9,,2.23,20.07
1,inflation,9,,2.23,20.07
1,alleviate poverty,9,,2.23,20.07
1,recession,9,,2.23,20.07
1,backwardness,9,,2.23,20.07
1,social ills,9,,2.23,20.07
1,minorities,9,,2.23,20.07
1,benefits,9,,2.23,20.07
1,housing,9,,2.23,20.07
1,payroll,9,,2.23,20.07
1,affordable housing,9,,2.23,20.07
1,unemployment rate,9,,2.23,20.07
1,payrolls,9,,2.23,20.07
1,jobless claims,9,,2.23,20.07
1,economists,9,,2.23,20.07
1,reinsurance,9,,2.23,20.07
1,social security,8,True,11.47,91.76
1,disasters,8,True,3.35,26.8
1,health,8,True,2.33,18.64
1,population,8,,2.23,17.84
1,eradicate poverty,8,,2.23,17.84
1,poverty eradication,8,,2.23,17.84
1,disparities,8,,2.23,17.84
1,infant mortality rate,8,,2.23,17.84
1,injustice,8,,2.23,17.84
1,hiv prevalence,8,,2.23,17.84
1,destitution,8,,2.23,17.84
1,insecurity,8,,2.23,17.84
1,gender equality,8,,2.23,17.84
1,poverty stricken,8,,2.23,17.84
1,education,8,,2.23,17.84
1,tribalism,8,,2.23,17.84
1,pers,8,,2.23,17.84
1,salary,8,,2.23,17.84
1,actuarial,8,,2.23,17.84
1,actuaries,8,,2.23,17.84
1,mutual fund,8,,2.23,17.84
1,jobless rate,8,,2.23,17.84
