"goal","keyword","pattern","weight","color"
1,"poverty","\b(\d*)poverty(\d*)\b",14.73,"#E5243B"
1,"pension","\b(\d*)pension(\d*)\b",4.47,"#E5243B"
1,"unemployment","\b(\d*)unemployment(\d*)\b",3.98,"#E5243B"
1,"welfare","\b(\d*)welfare(\d*)\b",3.23,"#E5243B"
1,"employment","\b(\d*)employment(\d*)\b",2.35,"#E5243B"
1,"insurance","\b(\d*)insurance(\d*)\b",2.28,"#E5243B"
1,"inequality","\b(\d*)inequality(\d*)\b",2.15,"#E5243B"
1,"social security","\b(\d*)social security(\d*)\b",1.84,"#E5243B"
1,"uninsured","\b(\d*)uninsured(\d*)\b",1.63,"#E5243B"
1,"pensions","\b(\d*)pensions(\d*)\b",1.27,"#E5243B"
1,"unemployed","\b(\d*)unemployed(\d*)\b",1.24,"#E5243B"
1,"economic","\b(\d*)economic(\d*)\b",0.94,"#E5243B"
1,"social","\b(\d*)social(\d*)\b",0.9,"#E5243B"
1,"homelessness","\b(\d*)homelessness(\d*)\b",0.87,"#E5243B"
1,"retirement","\b(\d*)retirement(\d*)\b",0.85,"#E5243B"
1,"incomes","\b(\d*)incomes(\d*)\b",0.85,"#E5243B"
1,"inequalities","\b(\d*)inequalities(\d*)\b",0.82,"#E5243B"
1,"homeless","\b(\d*)homeless(\d*)\b",0.82,"#E5243B"
1,"social welfare","\b(\d*)social welfare(\d*)\b",0.8,"#E5243B"
1,"poor","\b(\d*)poor(\d*)\b",0.78,"#E5243B"
1,"jobless","\b(\d*)jobless(\d*)\b",0.76,"#E5243B"
1,"disability","\b(\d*)disability(\d*)\b",0.73,"#E5243B"
1,"annuity","\b(\d*)annuity(\d*)\b",0.67,"#E5243B"
1,"retirees","\b(\d*)retirees(\d*)\b",0.67,"#E5243B"
1,"racism","\b(\d*)racism(\d*)\b",0.62,"#E5243B"
1,"pensioners","\b(\d*)pensioners(\d*)\b",0.62,"#E5243B"
1,"insurers","\b(\d*)insurers(\d*)\b",0.62,"#E5243B"
1,"wages","\b(\d*)wages(\d*)\b",0.62,"#E5243B"
1,"elderly","\b(\d*)elderly(\d*)\b",0.62,"#E5243B"
1,"socio economic","\b(\d*)socio economic(\d*)\b",0.58,"#E5243B"
1,"premiums","\b(\d*)premiums(\d*)\b",0.58,"#E5243B"
1,"disasters","\b(\d*)disasters(\d*)\b",0.54,"#E5243B"
1,"extreme poverty","\b(\d*)extreme poverty(\d*)\b",0.54,"#E5243B"
1,"infant mortality","\b(\d*)infant mortality(\d*)\b",0.54,"#E5243B"
1,"joblessness","\b(\d*)joblessness(\d*)\b",0.54,"#E5243B"
1,"insurer","\b(\d*)insurer(\d*)\b",0.54,"#E5243B"
1,"disaster","\b(\d*)disaster(\d*)\b",0.52,"#E5243B"
1,"low income","\b(\d*)low income(\d*)\b",0.51,"#E5243B"
1,"deprivation","\b(\d*)deprivation(\d*)\b",0.5,"#E5243B"
1,"underdevelopment","\b(\d*)underdevelopment(\d*)\b",0.49,"#E5243B"
1,"poorer","\b(\d*)poorer(\d*)\b",0.49,"#E5243B"
1,"gender","\b(\d*)gender(\d*)\b",0.45,"#E5243B"
1,"illiteracy","\b(\d*)illiteracy(\d*)\b",0.45,"#E5243B"
1,"abject poverty","\b(\d*)abject poverty(\d*)\b",0.45,"#E5243B"
1,"environmental degradation","\b(\d*)environmental degradation(\d*)\b",0.45,"#E5243B"
1,"marginalization","\b(\d*)marginalization(\d*)\b",0.45,"#E5243B"
1,"equality","\b(\d*)equality(\d*)\b",0.45,"#E5243B"
1,"retiree","\b(\d*)retiree(\d*)\b",0.45,"#E5243B"
1,"employer","\b(\d*)employer(\d*)\b",0.45,"#E5243B"
1,"wage","\b(\d*)wage(\d*)\b",0.45,"#E5243B"
1,"salaries","\b(\d*)salaries(\d*)\b",0.45,"#E5243B"
1,"employers","\b(\d*)employers(\d*)\b",0.45,"#E5243B"
1,"mental health","\b(\d*)mental health(\d*)\b",0.45,"#E5243B"
1,"foreclosures","\b(\d*)foreclosures(\d*)\b",0.45,"#E5243B"
1,"health care","\b(\d*)health care(\d*)\b",0.45,"#E5243B"
1,"flood","\b(\d*)flood(\d*)\b",0.41,"#E5243B"
1,"hunger","\b(\d*)hunger(\d*)\b",0.4,"#E5243B"
1,"discrimination","\b(\d*)discrimination(\d*)\b",0.4,"#E5243B"
1,"hiv aids","\b(\d*)hiv aids(\d*)\b",0.4,"#E5243B"
1,"socioeconomic","\b(\d*)socioeconomic(\d*)\b",0.4,"#E5243B"
1,"poorest","\b(\d*)poorest(\d*)\b",0.4,"#E5243B"
1,"maternal mortality","\b(\d*)maternal mortality(\d*)\b",0.4,"#E5243B"
1,"educational attainment","\b(\d*)educational attainment(\d*)\b",0.4,"#E5243B"
1,"inflation","\b(\d*)inflation(\d*)\b",0.4,"#E5243B"
1,"alleviate poverty","\b(\d*)alleviate poverty(\d*)\b",0.4,"#E5243B"
1,"recession","\b(\d*)recession(\d*)\b",0.4,"#E5243B"
1,"backwardness","\b(\d*)backwardness(\d*)\b",0.4,"#E5243B"
1,"social ills","\b(\d*)social ills(\d*)\b",0.4,"#E5243B"
1,"minorities","\b(\d*)minorities(\d*)\b",0.4,"#E5243B"
1,"benefits","\b(\d*)benefits(\d*)\b",0.4,"#E5243B"
1,"housing","\b(\d*)housing(\d*)\b",0.4,"#E5243B"
1,"payroll","\b(\d*)payroll(\d*)\b",0.4,"#E5243B"
1,"affordable housing","\b(\d*)affordable housing(\d*)\b",0.4,"#E5243B"
1,"unemployment rate","\b(\d*)unemployment rate(\d*)\b",0.4,"#E5243B"
1,"payrolls","\b(\d*)payrolls(\d*)\b",0.4,"#E5243B"
1,"jobless claims","\b(\d*)jobless claims(\d*)\b",0.4,"#E5243B"
1,"economists","\b(\d*)economists(\d*)\b",0.4,"#E5243B"
1,"reinsurance","\b(\d*)reinsurance(\d*)\b",0.4,"#E5243B"
1,"health","\b(\d*)health(\d*)\b",0.37,"#E5243B"
1,"population","\b(\d*)population(\d*)\b",0.36,"#E5243B"
1,"eradicate poverty","\b(\d*)eradicate poverty(\d*)\b",0.36,"#E5243B"
1,"poverty eradication","\b(\d*)poverty eradication(\d*)\b",0.36,"#E5243B"
1,"disparities","\b(\d*)disparities(\d*)\b",0.36,"#E5243B"
1,"infant mortality rate","\b(\d*)infant mortality rate(\d*)\b",0.36,"#E5243B"
1,"injustice","\b(\d*)injustice(\d*)\b",0.36,"#E5243B"
1,"hiv prevalence","\b(\d*)hiv prevalence(\d*)\b",0.36,"#E5243B"
1,"destitution","\b(\d*)destitution(\d*)\b",0.36,"#E5243B"
1,"insecurity","\b(\d*)insecurity(\d*)\b",0.36,"#E5243B"
1,"gender equality","\b(\d*)gender equality(\d*)\b",0.36,"#E5243B"
1,"poverty stricken","\b(\d*)poverty stricken(\d*)\b",0.36,"#E5243B"
1,"education","\b(\d*)education(\d*)\b",0.36,"#E5243B"
1,"tribalism","\b(\d*)tribalism(\d*)\b",0.36,"#E5243B"
1,"pers","\b(\d*)pers(\d*)\b",0.36,"#E5243B"
1,"salary","\b(\d*)salary(\d*)\b",0.36,"#E5243B"
1,"actuarial","\b(\d*)actuarial(\d*)\b",0.36,"#E5243B"
1,"actuaries","\b(\d*)actuaries(\d*)\b",0.36,"#E5243B"
1,"mutual fund","\b(\d*)mutual fund(\d*)\b",0.36,"#E5243B"
1,"jobless rate","\b(\d*)jobless rate(\d*)\b",0.36,"#E5243B"
1,"welfare recipients","\b(\d*)welfare recipients(\d*)\b",0.36,"#E5243B"
1,"economy","\b(\d*)economy(\d*)\b",0.36,"#E5243B"
1,"life expectancy","\b(\d*)life expectancy(\d*)\b",0.36,"#E5243B"
1,"flooding","\b(\d*)flooding(\d*)\b",0.36,"#E5243B"
1,"families","\b(\d*)families(\d*)\b",0.36,"#E5243B"
1,"taxes","\b(\d*)taxes(\d*)\b",0.36,"#E5243B"
1,"floods","\b(\d*)floods(\d*)\b",0.36,"#E5243B"
1,"underwriting","\b(\d*)underwriting(\d*)\b",0.36,"#E5243B"
1,"cigna","\b(\d*)cigna(\d*)\b",0.36,"#E5243B"
1,"income","\b(\d*)income(\d*)\b",0.34,"#E5243B"
1,"policy","\b(\d*)policy(\d*)\b",0.33,"#E5243B"
1,"empowerment","\b(\d*)empowerment(\d*)\b",0.32,"#E5243B"
1,"beneficiaries","\b(\d*)beneficiaries(\d*)\b",0.31,"#E5243B"
1,"globalization","\b(\d*)globalization(\d*)\b",0.31,"#E5243B"
1,"drought","\b(\d*)drought(\d*)\b",0.31,"#E5243B"
1,"aids","\b(\d*)aids(\d*)\b",0.31,"#E5243B"
1,"malnutrition","\b(\d*)malnutrition(\d*)\b",0.31,"#E5243B"
1,"dropout rate","\b(\d*)dropout rate(\d*)\b",0.31,"#E5243B"
1,"domestic violence","\b(\d*)domestic violence(\d*)\b",0.31,"#E5243B"
1,"urbanization","\b(\d*)urbanization(\d*)\b",0.31,"#E5243B"
1,"social cohesion","\b(\d*)social cohesion(\d*)\b",0.31,"#E5243B"
1,"superannuation","\b(\d*)superannuation(\d*)\b",0.31,"#E5243B"
1,"employee benefits","\b(\d*)employee benefits(\d*)\b",0.31,"#E5243B"
1,"workers compensation","\b(\d*)workers compensation(\d*)\b",0.31,"#E5243B"
1,"annuities","\b(\d*)annuities(\d*)\b",0.31,"#E5243B"
1,"erisa","\b(\d*)erisa(\d*)\b",0.31,"#E5243B"
1,"mutual funds","\b(\d*)mutual funds(\d*)\b",0.31,"#E5243B"
1,"axa","\b(\d*)axa(\d*)\b",0.31,"#E5243B"
1,"mortgage","\b(\d*)mortgage(\d*)\b",0.31,"#E5243B"
1,"needy","\b(\d*)needy(\d*)\b",0.31,"#E5243B"
1,"disabled","\b(\d*)disabled(\d*)\b",0.31,"#E5243B"
1,"rates","\b(\d*)rates(\d*)\b",0.31,"#E5243B"
1,"baby boomers","\b(\d*)baby boomers(\d*)\b",0.31,"#E5243B"
1,"oppression","\b(\d*)oppression(\d*)\b",0.31,"#E5243B"
1,"carers","\b(\d*)carers(\d*)\b",0.31,"#E5243B"
1,"healthcare","\b(\d*)healthcare(\d*)\b",0.31,"#E5243B"
1,"destitute","\b(\d*)destitute(\d*)\b",0.31,"#E5243B"
1,"catastrophe","\b(\d*)catastrophe(\d*)\b",0.31,"#E5243B"
1,"tornado","\b(\d*)tornado(\d*)\b",0.31,"#E5243B"
1,"insurance premiums","\b(\d*)insurance premiums(\d*)\b",0.31,"#E5243B"
1,"disadvantaged","\b(\d*)disadvantaged(\d*)\b",0.29,"#E5243B"
1,"urban","\b(\d*)urban(\d*)\b",0.28,"#E5243B"
1,"exclusion","\b(\d*)exclusion(\d*)\b",0.28,"#E5243B"
1,"social protection","\b(\d*)social protection(\d*)\b",0.28,"#E5243B"
1,"health insurance","\b(\d*)health insurance(\d*)\b",0.28,"#E5243B"
1,"vulnerable","\b(\d*)vulnerable(\d*)\b",0.27,"#E5243B"
1,"policies","\b(\d*)policies(\d*)\b",0.27,"#E5243B"
1,"poverty alleviation","\b(\d*)poverty alleviation(\d*)\b",0.27,"#E5243B"
1,"dropout rates","\b(\d*)dropout rates(\d*)\b",0.27,"#E5243B"
1,"inequities","\b(\d*)inequities(\d*)\b",0.27,"#E5243B"
1,"employability","\b(\d*)employability(\d*)\b",0.27,"#E5243B"
1,"pension fund","\b(\d*)pension fund(\d*)\b",0.27,"#E5243B"
1,"pension schemes","\b(\d*)pension schemes(\d*)\b",0.27,"#E5243B"
1,"retirement system","\b(\d*)retirement system(\d*)\b",0.27,"#E5243B"
1,"compensation","\b(\d*)compensation(\d*)\b",0.27,"#E5243B"
1,"life insurance","\b(\d*)life insurance(\d*)\b",0.27,"#E5243B"
1,"actuary","\b(\d*)actuary(\d*)\b",0.27,"#E5243B"
1,"long term care","\b(\d*)long term care(\d*)\b",0.27,"#E5243B"
1,"policyholders","\b(\d*)policyholders(\d*)\b",0.27,"#E5243B"
1,"policyholder","\b(\d*)policyholder(\d*)\b",0.27,"#E5243B"
1,"hsa","\b(\d*)hsa(\d*)\b",0.27,"#E5243B"
1,"liability","\b(\d*)liability(\d*)\b",0.27,"#E5243B"
1,"job","\b(\d*)job(\d*)\b",0.27,"#E5243B"
1,"job seekers","\b(\d*)job seekers(\d*)\b",0.27,"#E5243B"
1,"productivity","\b(\d*)productivity(\d*)\b",0.27,"#E5243B"
1,"childcare","\b(\d*)childcare(\d*)\b",0.27,"#E5243B"
1,"hourly wages","\b(\d*)hourly wages(\d*)\b",0.27,"#E5243B"
1,"underemployed","\b(\d*)underemployed(\d*)\b",0.27,"#E5243B"
1,"impoverished","\b(\d*)impoverished(\d*)\b",0.27,"#E5243B"
1,"orphans","\b(\d*)orphans(\d*)\b",0.27,"#E5243B"
1,"oppressed","\b(\d*)oppressed(\d*)\b",0.27,"#E5243B"
1,"shelter","\b(\d*)shelter(\d*)\b",0.27,"#E5243B"
1,"workers","\b(\d*)workers(\d*)\b",0.27,"#E5243B"
1,"unequal","\b(\d*)unequal(\d*)\b",0.27,"#E5243B"
1,"earthquake","\b(\d*)earthquake(\d*)\b",0.27,"#E5243B"
1,"quake","\b(\d*)quake(\d*)\b",0.27,"#E5243B"
1,"tsunami","\b(\d*)tsunami(\d*)\b",0.27,"#E5243B"
1,"landslide","\b(\d*)landslide(\d*)\b",0.27,"#E5243B"
1,"hurricane","\b(\d*)hurricane(\d*)\b",0.27,"#E5243B"
1,"hsas","\b(\d*)hsas(\d*)\b",0.27,"#E5243B"
1,"medicare","\b(\d*)medicare(\d*)\b",0.27,"#E5243B"
1,"food pantry","\b(\d*)food pantry(\d*)\b",0.27,"#E5243B"
1,"child support","\b(\d*)child support(\d*)\b",0.26,"#E5243B"
1,"reimbursement","\b(\d*)reimbursement(\d*)\b",0.26,"#E5243B"
1,"security","\b(\d*)security(\d*)\b",0.23,"#E5243B"
1,"bullying","\b(\d*)bullying(\d*)\b",0.22,"#E5243B"
1,"obesity","\b(\d*)obesity(\d*)\b",0.22,"#E5243B"
1,"literacy","\b(\d*)literacy(\d*)\b",0.22,"#E5243B"
1,"inequity","\b(\d*)inequity(\d*)\b",0.22,"#E5243B"
1,"racial","\b(\d*)racial(\d*)\b",0.22,"#E5243B"
1,"teenage pregnancy","\b(\d*)teenage pregnancy(\d*)\b",0.22,"#E5243B"
1,"neglect","\b(\d*)neglect(\d*)\b",0.22,"#E5243B"
1,"prostitution","\b(\d*)prostitution(\d*)\b",0.22,"#E5243B"
1,"mortality","\b(\d*)mortality(\d*)\b",0.22,"#E5243B"
1,"violent crime","\b(\d*)violent crime(\d*)\b",0.22,"#E5243B"
1,"societal","\b(\d*)societal(\d*)\b",0.22,"#E5243B"
1,"prosperity","\b(\d*)prosperity(\d*)\b",0.22,"#E5243B"
1,"demographic","\b(\d*)demographic(\d*)\b",0.22,"#E5243B"
1,"economically disadvantaged","\b(\d*)economically disadvantaged(\d*)\b",0.22,"#E5243B"
1,"landless","\b(\d*)landless(\d*)\b",0.22,"#E5243B"
1,"governance","\b(\d*)governance(\d*)\b",0.22,"#E5243B"
1,"ethnic minorities","\b(\d*)ethnic minorities(\d*)\b",0.22,"#E5243B"
1,"tax","\b(\d*)tax(\d*)\b",0.22,"#E5243B"
1,"kiwisaver","\b(\d*)kiwisaver(\d*)\b",0.22,"#E5243B"
1,"civil service","\b(\d*)civil service(\d*)\b",0.22,"#E5243B"
1,"k","\b(\d*)k(\d*)\b",0.22,"#E5243B"
1,"unfunded liability","\b(\d*)unfunded liability(\d*)\b",0.22,"#E5243B"
1,"asset allocation","\b(\d*)asset allocation(\d*)\b",0.22,"#E5243B"
1,"variable annuities","\b(\d*)variable annuities(\d*)\b",0.22,"#E5243B"
1,"iras","\b(\d*)iras(\d*)\b",0.22,"#E5243B"
1,"variable annuity","\b(\d*)variable annuity(\d*)\b",0.22,"#E5243B"
1,"employee","\b(\d*)employee(\d*)\b",0.22,"#E5243B"
1,"seasonally adjusted","\b(\d*)seasonally adjusted(\d*)\b",0.22,"#E5243B"
