SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
3,lung cancer,71,,3.48,247.08
3,breast cancer,69,True,3.94,271.86
3,prostate cancer,62,,3.48,215.76
3,cancer,54,True,34.93,1886.22
3,disease,51,True,5.12,261.12
3,melanoma,49,True,7.56,370.44
3,diabetes,47,True,19.37,910.3900000000001
3,tuberculosis,45,True,11.84,532.8
3,heart disease,43,True,9.66,415.38
3,swine flu,43,,3.48,149.64
3,bird flu,41,,3.48,142.68
3,alzheimer disease,40,,3.48,139.2
3,meningitis,38,,3.48,132.24
3,lupus,35,,3.48,121.8
3,leukemia,33,True,8.93,294.69
3,measles,33,True,4.18,137.94
3,osteoporosis,33,,3.48,114.84
3,influenza,30,True,9.87,296.09999999999997
3,cystic fibrosis,29,True,4.64,134.56
3,hypertension,29,,3.48,100.92
3,infection,28,,3.48,97.44
3,cancers,27,True,8.59,231.93
3,rabies,27,True,4.84,130.68
3,infections,27,,3.48,93.96
3,parkinson disease,27,,3.48,93.96
3,colorectal cancer,27,,3.48,93.96
3,liver cancer,27,,3.48,93.96
3,lymphoma,26,True,7.56,196.56
3,dengue,26,True,6.73,174.98000000000002
3,dementia,26,,3.48,90.48
3,glaucoma,26,,3.48,90.48
3,bowel cancer,26,,3.48,90.48
3,asthma,25,True,12.97,324.25
3,multiple sclerosis,25,,3.48,87.0
3,flu,25,,3.48,87.0
3,cardiovascular disease,25,,3.48,87.0
3,colon cancer,25,,3.48,87.0
3,ovarian cancer,25,,3.48,87.0
3,pancreatic cancer,25,,3.48,87.0
3,cervical cancer,24,,3.48,83.52
3,bladder cancer,24,,3.48,83.52
3,multiple myeloma,24,,3.48,83.52
3,kidney disease,23,True,6.29,144.67
3,virus,23,True,3.92,90.16
3,copd,23,,3.48,80.04
3,esophageal cancer,23,,3.48,80.04
3,obesity,22,True,18.78,413.16
3,diseases,22,True,6.76,148.72
3,cholera,22,True,5.99,131.78
3,neuroblastoma,22,True,4.61,101.42
3,epilepsy,22,,3.48,76.56
3,liver disease,22,,3.48,76.56
3,alzheimer,22,,3.48,76.56
3,west nile virus,21,,3.48,73.08
3,thyroid cancer,20,,3.48,69.6
3,malaria,19,True,11.27,214.13
3,hepatitis,19,True,11.08,210.52
3,coronary artery disease,19,,3.48,66.12
3,malignancies,19,,3.48,66.12
3,brain tumors,19,,3.48,66.12
3,cardiovascular diseases,18,True,6.29,113.22
3,breast cancers,18,,3.48,62.64
3,skin cancers,18,,3.48,62.64
3,testicular cancer,18,,3.48,62.64
3,non hodgkin lymphoma,18,,3.48,62.64
3,brain tumor,18,,3.48,62.64
3,superbug,18,,3.48,62.64
3,aids,17,True,24.52,416.84
3,mrsa,17,True,6.74,114.58
3,cardiovascular,17,True,3.74,63.580000000000005
3,arthritis,17,,3.48,59.16
3,chronic diseases,17,,3.48,59.16
3,metastatic breast cancer,17,,3.48,59.16
3,bacterial meningitis,17,,3.48,59.16
3,tumors,16,True,3.77,60.32
