SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
16,rape,49,,4.92,241.07999999999998
16,sexual assault,41,True,5.8,237.79999999999998
16,abuse,39,True,12.14,473.46000000000004
16,harassment,33,True,5.78,190.74
16,crime,31,,4.92,152.52
16,bullying,28,True,8.66,242.48000000000002
16,violence,26,True,8.46,219.96000000000004
16,crimes,26,,4.92,127.92
16,kidnapping,24,,4.92,118.08
16,prostitution,24,,4.92,118.08
16,terrorism,23,True,7.49,172.27
16,torture,23,,4.92,113.16
16,sexual,22,True,6.97,153.34
16,sexual abuse,21,True,6.98,146.58
16,terrorist,19,True,8.61,163.58999999999997
16,murder,19,True,6.23,118.37
16,sexual misconduct,19,,4.92,93.48
16,discrimination,19,,4.92,93.48
16,child abuse,18,True,8.18,147.24
16,assault,17,True,8.58,145.86
16,terror,17,True,6.49,110.33
16,neglect,17,True,5.73,97.41000000000001
16,sexual assaults,17,,4.92,83.64
16,molestation,17,,4.92,83.64
16,abduction,17,,4.92,83.64
16,murders,17,,4.92,83.64
16,robberies,17,,4.92,83.64
16,racism,17,,4.92,83.64
16,corruption,16,True,21.36,341.76
16,homicide,16,True,12.66,202.56
16,maltreatment,16,True,10.12,161.92
16,violent,16,True,7.13,114.08
16,sexual harassment,16,True,5.36,85.76
16,terrorists,16,,4.92,78.72
16,bribery,15,True,8.09,121.35
16,civil liberties,15,True,4.95,74.25
16,rapes,15,,4.92,73.8
16,spousal abuse,15,,4.92,73.8
16,domestic violence,15,,4.92,73.8
16,criminal,15,,4.92,73.8
16,al qaeda,15,,4.92,73.8
16,al qaida,15,,4.92,73.8
16,human rights,14,True,27.48,384.72
16,sexual molestation,14,,4.92,68.88
16,sexual exploitation,14,,4.92,68.88
16,sex,14,,4.92,68.88
16,victimization,14,,4.92,68.88
16,fraud,14,,4.92,68.88
16,human trafficking,14,,4.92,68.88
16,counterterrorism,13,True,6.56,85.28
16,abusive,13,True,5.8,75.39999999999999
16,statutory rape,13,,4.92,63.96
16,sexually abused,13,,4.92,63.96
16,assaults,13,,4.92,63.96
16,robbery,13,,4.92,63.96
16,killings,13,,4.92,63.96
16,vandalism,13,,4.92,63.96
16,cyberbullying,12,True,9.16,109.92
16,democracy,12,True,5.15,61.800000000000004
16,indecent assault,12,,4.92,59.04
16,sexual intercourse,12,,4.92,59.04
16,rapist,12,,4.92,59.04
16,hate crimes,12,,4.92,59.04
16,incidents,12,,4.92,59.04
16,arson,12,,4.92,59.04
16,mistreatment,12,,4.92,59.04
16,attacks,12,,4.92,59.04
16,trafficking,12,,4.92,59.04
16,censorship,12,,4.92,59.04
16,constitutional,12,,4.92,59.04
16,freedom,11,True,10.57,116.27000000000001
16,incest,11,True,8.91,98.01
16,counter terrorism,11,True,6.63,72.92999999999999
16,homicides,11,True,6.16,67.76
16,sexually abusing,11,,4.92,54.12
16,molested,11,,4.92,54.12
16,sexually molested,11,,4.92,54.12
16,sexual encounters,11,,4.92,54.12
16,sexually,11,,4.92,54.12
16,poverty,11,,4.92,54.12
