"goal","keyword","pattern","weight","color"
1,"poverty","\b(\d*)poverty(\d*)\b",100,"#E5243B"
1,"pension","\b(\d*)pension(\d*)\b",30.327267789245,"#E5243B"
1,"unemployment","\b(\d*)unemployment(\d*)\b",27.016567083107,"#E5243B"
1,"welfare","\b(\d*)welfare(\d*)\b",21.9201520912547,"#E5243B"
1,"employment","\b(\d*)employment(\d*)\b",15.9369907658881,"#E5243B"
1,"insurance","\b(\d*)insurance(\d*)\b",15.4915806626833,"#E5243B"
1,"inequality","\b(\d*)inequality(\d*)\b",14.6048343291689,"#E5243B"
1,"social security","\b(\d*)social security(\d*)\b",12.4606192286801,"#E5243B"
1,"uninsured","\b(\d*)uninsured(\d*)\b",11.0510592069527,"#E5243B"
1,"pensions","\b(\d*)pensions(\d*)\b",8.6040195545899,"#E5243B"
1,"unemployed","\b(\d*)unemployed(\d*)\b",8.40847365562195,"#E5243B"
1,"economic","\b(\d*)economic(\d*)\b",6.40956002172732,"#E5243B"
1,"social","\b(\d*)social(\d*)\b",6.11895708853884,"#E5243B"
1,"homelessness","\b(\d*)homelessness(\d*)\b",5.90983161325367,"#E5243B"
1,"retirement","\b(\d*)retirement(\d*)\b",5.77946768060837,"#E5243B"
1,"incomes","\b(\d*)incomes(\d*)\b",5.75366648560565,"#E5243B"
1,"homeless","\b(\d*)homeless(\d*)\b",5.57848995111353,"#E5243B"
1,"inequalities","\b(\d*)inequalities(\d*)\b",5.54046713742531,"#E5243B"
1,"social welfare","\b(\d*)social welfare(\d*)\b",5.41825095057034,"#E5243B"
1,"poor","\b(\d*)poor(\d*)\b",5.31233025529603,"#E5243B"
1,"jobless","\b(\d*)jobless(\d*)\b",5.14801738185769,"#E5243B"
1,"disability","\b(\d*)disability(\d*)\b",4.95382944052146,"#E5243B"
1,"annuity","\b(\d*)annuity(\d*)\b",4.54236827810972,"#E5243B"
1,"retirees","\b(\d*)retirees(\d*)\b",4.54236827810972,"#E5243B"
1,"pensioners","\b(\d*)pensioners(\d*)\b",4.23954372623574,"#E5243B"
1,"insurers","\b(\d*)insurers(\d*)\b",4.23954372623574,"#E5243B"
1,"wages","\b(\d*)wages(\d*)\b",4.23954372623574,"#E5243B"
1,"elderly","\b(\d*)elderly(\d*)\b",4.23954372623574,"#E5243B"
